135,Practical Improvement Science in Health Care: A Roadmap for Getting Results,"Learn the skills and tools of improvement science to make positive changes in health, healthcare, and your daily life.",Free*
136,Japanese Books: From Manuscript to Print,"Study Japanese scroll art as text and as ""little movies"" that immerse the viewer through visual narration.",Free*
137,Strengthening Community Health Worker Programs,Learn to deliver high-quality primary health care at scale through national community health worker programs.,Free*
138,Webinar: Strategic Fundraising for Nonprofit Leaders,Harvard Kennedy School and Harvard Business School's Arthur Brooks discusses fundraising and development in a recorded webinar.,Free*
139,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Learn what is involved in using data wisely to build a culture of collaborative inquiry.,Free*
140,Cell Biology: Mitochondria,A human-centered approach to the fundamentals of cell biology with a focus on the power plants of the cell - mitochondria.,Free*
141,"19th-Century Opera: Meyerbeer, Wagner, & Verdi","Learn the music and cultural impact of three canonical operas from the 1800s: Les Huguenots, Das Rheingold, and Otello.",Free*
142,18th-Century Opera: Handel & Mozart,Study Baroque and Classical opera through Handel’s Giulio Cesare and Mozart’s Don Giovanni,Free*
143,"Fundamentals of Neuroscience, Part 3: The Brain",Discover what makes your brain tick in this third course in our introductory series in neuroscience.,Free*
144,United States Health Policy,Learn the essentials of U.S. health care policy from some of the nation's top experts.,Free*
145,Humanitarian Response to Conflict and Disaster,"Learn the principles guiding humanitarian response to modern emergencies, and the challenges faced in the field today.",Free*
146,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Learn how electricity makes the neurons in your brain tick.,Free*
147,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",An introduction to the study of bioethics and the application of legal and ethical reasoning.,Free*
148,Rhetoric: The Art of Persuasive Writing and Public Speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,Free*
149,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Discover how neurons work together to create complex networks inside the brain.,Free*
150,Vaccines and Viral Immunology,Learn about developments in the creation of vaccines.,800
151,Genetic Testing and Sequencing Technologies,Explore genetic testing and its clinical applications.,800
152,HMX Physiology,Learn foundational concepts in physiology and see how the material is used in taking care of patients.,800
153,"Novel Therapies for Chronic Inflammation, Autoimmunity, and Allergy",Learn how the immune system is harnessed to treat inflammation.,800
154,Cancer Genomics and Precision Oncology,Learn how cancer treatment is evolving due to advances in genetics.,800
155,HMX Immunology,Learn foundational concepts in immunology and gain a basis for understanding a broad range of medical conditions.,800
156,HMX Genetics,Learn foundational concepts in genetics and gain new insight into the rapidly evolving field of genomics.,800
157,Immuno-oncology,See how the immune system is being used to improve cancer treatment.,800
158,HMX Biochemistry,Learn foundational concepts in biochemistry and gain a new appreciation for how this field applies to human health and disease.,800
159,HMX Pharmacology,Learn how drugs and other therapeutics are used in the treatment and prevention of diseases and disorders.,800
160,Drug Delivery,Understand advances in drug delivery systems and approaches.,800
161,Managing Yourself and Others,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.,"2,895"
162,Gastroenterology 2022,This program ensures participants are current with state-of-the-art GI strategies and clinical practices.,"995 - $1,295"
163,Design Thinking: Creating Better Customer Experiences,Learn how the principles of design thinking can help fuel the success of your organization.,"2,895"
164,Mergers and Acquisitions: Structuring and Leading Deals,Mergers and Acquisitions: Structuring and Leading Deals provides participants with an overview of the M&A process through...,"14,500"
165,Managing Yourself and Others,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.,"2,895"
166,The Walkable City,"Join Join Jeff Speck, author of the best-selling Walkable City, for a comprehensive two-day course on the most effective...","1,600"
167,One-Day Expert Program: Overcoming Resistance in a Negotiation,A PON Expert (PONx) one-day program that will explain what to do when you encounter resistance in a negotiation.,"1,497"
168,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,Learn simple graphical rules that allow you to use intuitive pictures to improve study design and data analysis for causal...,Free*
169,Introverts as Leaders: Quiet Power as a Leadership Strength,Challenge the conventional definition of leadership. Explore the significant value of introverted personality types within...,"2,895"
170,Backyard Meteorology: The Science of Weather,Learn to forecast the weather just by looking out your window.,Free*
171,The Path to Happiness: What Chinese Philosophy Teaches Us about the Good Life,"Why should we care about Confucius? Explore ancient Chinese philosophy, ethics, and political theory to challenge your...",Free*
172,People Analytics: Maximizing Human Capital with Data,Improve your organization's ability to retain and develop top talent. Leverage data-driven techniques to give useful...,"2,895"
173,Disruptive Innovation,"Drive innovation to lead breakthrough change, capture and defend market opportunities, and sustain competitive advantage.","15,750"
174,Neurology for the Non-Neurologist,"This lecture series will provide attendees with the opportunity to improve their knowledge, competence, and performance in the...",700 - $900
175,Evaluating and Treating Pain,A comprehensive review and update of the basic science and advances in the field of pain medicine.,"975 - $1,475"
176,Emerging Women Executives in Health Care,This leadership development program focused on women provides you with the skills to lead complex health care organizations.,"4,500"
177,CORe,This three-course program from Harvard Business School (HBS) Online will teach you the fundamental skills to confidently...,"2,250"
178,Financial Accounting,"This Harvard Business School (HBS) Online course is an introduction to financial accounting, its concepts, and the techniques of...","3,500"
179,Digital Content Marketing Workshop,"In this intensive program, you’ll learn how to engage your target audiences online by developing audience-first content that...","3,995"
180,Beginning Sanskrit,"Classical Sanskrit is a language in which South Asian kings, literary theorists, philosophers, playwrights, poets, religious...","7,000"
181,Appraising and Reimagining Middle and High School Mathematics Education,This course examines critical issues in middle and high school mathematics education in the United States from a variety of...,"3,500"
182,Introduction to Museum Studies,This course provides a behind-the-scenes view of museums from the people who are actively involved in their operations,"2,980"
183,Managerial Accounting,"This course introduces the principles and methods of data collection and presentation for planning and control, performance...","3,500"
184,Sustainable Development Practice: Creating a Livable World,The world has made progress in reducing extreme poverty and non-communicable disease,"3,500"
185,Applied Corporate Responsibility,"This course examines the role of corporate responsibility as a strategy to improve products, profits, and brand equity","3,500"
186,Principles of Organic Chemistry,"This course is a one-semester (4-credit) introduction to organic chemistry, with an emphasis on structure and bonding, reaction...","3,500"
187,Problem Solving and Project Design,"In this course, students work on real-world problems that do not have obvious solutions","3,500"
188,Introduction to the Ancient Greek World,"This course covers the civilization of the ancient Greek world, from its origins in the Neolithic period and the bronze age up...","3,500"
189,Case Studies in Enterprise Architecture,This course explores real-life scenarios of digital solution implementations in various industry settings,"3,500"
190,Podcasting,What makes a podcast stand out from the rest? How do you make one that engages listeners and becomes relevant? Podcasts are in a...,"3,500"
191,Beginning Swahili I,This course introduces students to the lingua franca of East and Central Africa,"3,500"
192,Birth Control,The US Supreme Court's recent refusal to block a near-total abortion ban in Texas has inflamed old debates about life and choice,"3,500"
193,Agile Software Development,This course is an immersive experience in agile software development,"3,500"
194,"History of Financial Crises, 1637 to the Present","This course examines the 384-year history of financial crises through the great meltdown of 2008 and its aftermath, culminating...","3,500"
195,Case Studies in Enterprise Architecture,This course explores real-life scenarios of digital solution implementations in various industry settings,"3,500"
196,The Ethics of Emerging Technologies,Technology is increasingly embedded in our lives,"3,500"
197,Drawing and the Digital Age,"Our world has been shaped by drawing: the buildings we work in, the films we enjoy, the dances we perform","3,500"
198,Performing Musical Theater,"In this course, which is open to all levels, students explore how to create a polished and convincing solo song performance","3,500"
199,Neuroinvesting: Neuroscience and Financial Decision Making,"The study of decision making has a long tradition, particularly in economics, where the choices of economic agents have been...","3,500"
200,Organizational Behavior,This course deals with issues related to human behavior in a variety of organizational settings,"3,500"
201,Poetry Writing,"This course is about writing—and, therefore, reading—many kinds of poetry, including brand new open forms, very old rhymed and...","3,500"
202,Corporate Finance,The goal of this course is to develop skills for making corporate investment decisions and for analyzing risk,"3,500"
203,American Dreams Made in Hollywood and Beyond,"The American dream once essentialized the grand promise of a better, fuller, and richer life","3,500"
204,"Voice and Speech: Breath, Presence, Connection","This is a practical and experiential course designed for students who wish to explore voice, speech, and communication for...","3,500"
205,The Psychology of Close Relationships,This course is an exploration of the psychology of close human relationships,"3,500"
206,Principles of Finance,This course provides an introductory survey of the field of finance,"3,500"
207,Project Management,"This course guides students through the fundamental project management concepts, practices, and behavioral characteristics needed...","3,500"
208,Beginning Greek,"This course is an introduction to ancient Greek, one of the foundational languages of Western civilization","3,500"
209,Animal Transgenesis: A Laboratory Primer on Genetics,This lab-based course uses the fruit fly Drosophila melanogaster to introduce students to experimental biology and the wonder of...,"3,500"
210,Principles of Economics: Macroeconomics,This introduction to macroeconomic theory and policy emphasizes the overall performance of the national economy,"3,500"
211,Contemporary Photography: War and Conflict,This course examines how photographs of contemporary conflict have had an impact on the history of photography and the role of...,"3,500"
212,"Advanced Spanish Language I: Viewing the Hispanic World, Identidades y Lazos",This is an advanced language and culture course that further develops linguistic competence using regions of the Hispanic world...,"3,500"
213,Introduction to Computer Science with Python,This course is an introduction to computer science for students without prior programming experience,"3,500"
214,Computer Science for Business Professionals,"This course is a variant of Harvard College's introduction to computer science, CS50, designed especially for business...","3,500"
215,International Conflict and Cooperation,This course is an introduction to the analysis of the causes and character of international conflict and cooperation,"3,500"
216,General Chemistry,This course is a comprehensive survey of chemistry for the general student that emphasizes the principles underlying the...,"7,000"
217,Basic Japanese,This course is for people with little or no background in Japanese,"3,500"
218,Islam: Fundamentals of Thought and Practice,"This course seeks to introduce students to the core beliefs and practices of Islam, with special focus on how Islam has...","3,500"
219,Managerial Finance,The objective of the course is to provide the student with the basic analytical tools required to make value-creating financial...,"3,500"
220,Internet Folklore and Digital Storytelling,"Exploring the wild world wide web of informal vernacular culture being created, transmitted, and adapted by online communities,...","3,500"
221,Introduction to Clinical Psychology,Clinical psychology is a diverse and compelling field,"3,500"
222,Introduction to Molecular and Cellular Biology,"This course leverages problem-solving skills to explore the central principles of molecular and cellular biology, with a focus on...","3,500"
223,Web Programming with Python and JavaScript,"This course examines the design and implementation of web applications with Python, JavaScript, and SQL using frameworks like...","3,500"
224,Myth and Mystery in Post-World War II US Short Fiction,This course surveys a host of short prose fiction published in the United States after 1945,"3,500"
225,Introduction to Psychopharmacology,Human interaction with drugs permeates our society,"3,500"
226,Telling Stories with Data,Data is everywhere,"3,500"
227,Introduction to C++ for Programmers,An understanding of C++ helps to solidify knowledge of programming concepts and provides a strong foundation for learning other...,"3,500"
228,Becoming a Brain Scientist: Neuroscience and Psychology Research,"How do scientists study the brain, behavior, cognition, and learning? This course is an introduction to how psychologists and...","3,500"
229,Democracy's Century: Democratic Transitions in Comparative Perspective,This course addresses the question of tough transitions,"3,500"
230,Introduction to Probability for Engineering and Data Science,"This course introduces students to probability theory and statistics, and their applications in engineering and data science","3,500"
231,Deductive Logic,Logic is the study of valid argumentation,"3,500"
232,Intensive Beginning Greek,This course is designed for students with little or no prior instruction in ancient Greek who are committed to learning the...,"7,000"
233,Power and Privilege in the Criminal Justice System,"This course looks at a variety of intersections between psychology and the criminal justice system, with a particular eye on...","3,500"
234,Computational Bayesian Inference,This course is an introduction to Bayesian inference and Markov Chain Monte Carlo computational methods,"3,500"
235,Financial Statement Analysis,This course is designed to prepare students to interpret and analyze financial statements for tasks such as credit and security...,"3,500"
236,"Organizations, Management Behavior, and Economics","In this course, the evolution of corporate structure is considered as a basis for development of a model for the future...","3,500"
237,Precision Medicine in Genomics,This course focuses on the application of genomic science in precision medicine,"3,500"
238,Politics and Power in Greater China,"This course introduces students to key concepts, actors, and events in the politics of greater China","3,500"
239,Principles of Organic Chemistry,"This course is a one-semester (4-credit) introduction to organic chemistry, with an emphasis on structure and bonding, reaction...","3,500"
240,"Race, Class, and Consumption in Food","Today, a heavy burden is placed on consumers to understand the social justice (or lack thereof) of the products that they purchase","3,500"
241,Thinking Out of the Box: New Insights into North Korea,This course examines recent political and economic trends in North Korea in an effort to understand better the North Korean...,"3,500"
242,Introduction to Sustainable Finance and Investments,"Financial decisions worldwide are increasingly influenced by the scarcity of resources, the search for profits through efficiency...","3,500"
243,Appraising and Reimagining Middle and High School Mathematics Education,This course examines critical issues in middle and high school mathematics education in the United States from a variety of...,"3,500"
244,Intensive Introduction to Computer Science Using Java,This course is a fast-paced and rigorous introduction to computer science,"7,000"
245,Birth Control,The US Supreme Court's recent refusal to block a near-total abortion ban in Texas has inflamed old debates about life and choice,"3,500"
246,Drawing and the Digital Age,"Our world has been shaped by drawing: the buildings we work in, the films we enjoy, the dances we perform","3,500"
247,Performing Musical Theater,"In this course, which is open to all levels, students explore how to create a polished and convincing solo song performance","3,500"
248,Environmental Crises and Systems Collapse: Lessons on the Importance of Resilience and Adaptation,Present-day environmental crises are examined from an historical and analytical perspective—investigating the contexts of these...,"3,500"
249,Problem Solving and Project Design,"In this course, students work on real-world problems that do not have obvious solutions","3,500"
250,"Infectious Diseases, Pandemics, and Social Injustice","Amazing scientific and public health advances have transformed our understanding, prevention, and treatment of infectious...","3,500"
251,"Self, Society, and Politics","This course examines the main ways in which the relationship between self, society, and politics has been conceptualized in major...","3,500"
252,The Law and Cybersecurity,"In a world with almost limitless data collection capability, where cyberattacks can propagate instantaneously and where the...","3,500"
253,Neuroinvesting: Neuroscience and Financial Decision Making,"The study of decision making has a long tradition, particularly in economics, where the choices of economic agents have been...","3,500"
254,Organizational Behavior,This course deals with issues related to human behavior in a variety of organizational settings,"3,500"
255,Neurobiology,This course is an intensive introduction to the organization and molecular function of the nervous system,"3,500"
256,Street Dance Activism,This performance-based course explores the creation and implementation of street dance activism as an expression and means of...,"3,500"
257,Political Corruption,This course provides a comparative analysis of political corruption in rich and poor countries around the world,"3,500"
258,Intermediate French: Francophone Culture in Local Communities,"This intermediate-level language course explores cultural topics such as music, dance, and cuisine in France and other French-...","3,500"
259,Project Management,"This course guides students through the fundamental project management concepts, practices, and behavioral characteristics needed...","3,500"
260,Justice: Ethics in an Age of Pandemic and Racial Reckoning,"What is a just society? What do we owe one another as citizens? What is a good life? These questions, long debated by...","3,500"
261,Fundamentals of Fiction,"This intensive, immersive course is designed for graduate-credit students with strong writing skills and an interest in becoming...","3,500"
262,Ukraine in the World: Exploring Contemporary Ukraine,This course explores Ukraine from multiple and intersecting levels,"3,500"
263,Public Finance,This course studies the interaction of governments and markets,"3,500"
264,Real Estate Finance and Investment,This course presents a toolkit for maximizing investment returns,"3,500"
265,Fundamentals of Contemporary Astronomy: Frontiers of Current Research,Astronomers are making exciting discoveries every day,"3,500"
266,Masterpieces of World Literature,"This course surveys world literature from The Epic of Gilgamesh to the present, with an emphasis on different cultures and...","3,500"
267,Intensive Elementary Russian,This intensive course provides a comprehensive introduction to modern Russian language and culture for those who would like to...,"7,000"
268,The Art of Communication,"Today's leaders must convey their messages concisely, confidently, and memorably","3,500"
269,Introduction to Digital Photography,This course is aimed at students wishing to master the fundamentals of photography,"3,500"
270,Fundamentals of Contemporary Astronomy: Frontiers of Current Research,Astronomers are making exciting discoveries every day,"3,500"
271,Introduction to Psychopharmacology,Human interaction with drugs permeates our society,"3,500"
272,Introduction to Statistics and Applied Data Analysis,"This course is an intensive introduction to the fundamental concepts of probability, statistical inference, and statistical...","3,500"
273,East Asian Religions: Traditions and Transformations,This course provides an introduction to the study of East Asian religions,"3,500"
274,Democracy's Century: Democratic Transitions in Comparative Perspective,This course addresses the question of tough transitions,"3,500"
275,Deductive Logic,Logic is the study of valid argumentation,"3,500"
276,Power and Privilege in the Criminal Justice System,"This course looks at a variety of intersections between psychology and the criminal justice system, with a particular eye on...","3,500"
277,Migrants in the Modern Middle East,"This course follows people who moved (or were made to move) in, to, or from the eastern Mediterranean between the late nineteenth...","3,500"
278,Introduction to Artificial Intelligence with Python,"This course explores the concepts and algorithms at the foundation of modern artificial intelligence, diving into the ideas that...","3,500"
279,Extreme Graph Theory and Combinatorics,"In this course, we explore some classical extremal (and fun) problems including the ones mentioned above. The methods we develop...","3,500"
280,Advanced Fiction: Writing Flash Fiction,How to tell a story in a single paragraph? In a page? In three? This advanced writing course explores one of the hottest forms of...,"2,980"
281,Financial Statement Analysis,This course is designed to prepare students to interpret and analyze financial statements for tasks such as credit and security...,"3,500"
282,Appraising and Reimagining Middle and High School Mathematics Education,This course examines critical issues in middle and high school mathematics education in the United States from a variety of...,"3,500"
283,Sustainable Development Practice: Creating a Livable World,The world has made progress in reducing extreme poverty and non-communicable disease,"3,500"
284,Negotiation and Organizational Conflict Resolution,This course provides a comprehensive introduction to the concept and types of negotiation,"3,500"
285,Music and Disability,"This course explores music and disability studies, inclusive music education and practice, and disability arts, among other topics","3,500"
286,A Short Tour of the Universe Guided by Einstein and Others,"This course discusses what we understand of the universe, guided by those who have shaped our understanding","3,500"
287,Ukrainian for Reading Knowledge,This course is designed primarily for graduate students of humanities who wish to acquire a reading knowledge of Ukrainian for...,"7,000"
288,Video Editing and Digital Design,This course serves as an introduction to the art of video post-production,"3,500"
289,Advanced Creative Nonfiction,This workshop is intended for serious writers of creative nonfiction who want to produce publishable work,"3,500"
290,Street Dance Activism,This performance-based course explores the creation and implementation of street dance activism as an expression and means of...,"3,500"
291,"War Crimes, Genocide, and Justice","This course examines the uneasy relationship between law and warfare, including the historical evolution of the law of armed...","3,500"
292,Intermediate French: Francophone Culture in Local Communities,"This intermediate-level language course explores cultural topics such as music, dance, and cuisine in France and other French-...","3,500"
293,Managing Yourself and Others,"Managing others may not be complex, but it is certainly not easy","3,500"
294,"Elementary Japanese I, II",This course is designed for people with little or no background in Japanese,"7,000"
295,Neurobiology,This course is an intensive introduction to the organization and molecular function of the nervous system,"3,500"
296,Cryptography and Identity Management for Cloud and Internet of Things (IoT) Applications,"Confidentiality, integrity, availability, authentication, authorization, and accountability are the most critical security...","3,500"
297,Public Finance,This course studies the interaction of governments and markets,"3,500"
298,Time Series Analysis with Python,"Time series data (for example, closing prices of an exchange-traded fund, maximum yearly temperatures, monthly PC sales, or daily...","3,500"
299,The History of the Cold War,This course introduces students to major topics in cold war history,"3,500"
300,Ukrainian for Reading Knowledge,This course is designed primarily for graduate students of humanities who wish to acquire a reading knowledge of Ukrainian for...,"7,000"
301,"Introduction to Irish Myth, Folklore, and Music",Ireland from its earliest times to the present boasts a rich and complex mythic tradition that serves as an energizing source for...,"3,500"
302,Introduction to Acting,"This course concentrates on the development of imagination, observation, focus of attention, and the effective use of materials...","3,500"
303,Design of Renewable Energy Projects,"This course helps students develop the skills to design, fund, and implement renewable energy projects in the United States and...","3,500"
304,Writing about Social and Ethical Issues,"Students read varying viewpoints on controversial current issues, such as medical ethics, poverty, the environment, race,...","3,500"
305,Music and Disability,"This course explores music and disability studies, inclusive music education and practice, and disability arts, among other topics","3,500"
306,Personal Finance and Financial Well-Being,"The need to develop personal finance literacy is an increasingly important issue worldwide, especially in the wake of the latest...","3,500"
307,Advanced Poetry Writing: The Art of the Line,This intensive workshop offers students the opportunity to further develop their aptitude and affinity for the practice of...,"3,500"
308,Anthropology of Food and Foodways,"Food and eating are not just necessary for life, they are the basis of culture","3,500"
309,Economics of Inequality,This course is designed to teach the structural economic factors that result in or lead to inequality in economic outcomes and...,"3,500"
310,Political Corruption,This course provides a comparative analysis of political corruption in rich and poor countries around the world,"3,500"
311,Politics and Governance in the Global South,This course introduces students to politics and the political economy of development in low-income countries,"3,500"
312,"Advanced Spanish Language I: Viewing the Hispanic World, Identidades y Lazos",This is an advanced language and culture course that further develops linguistic competence using regions of the Hispanic world...,"3,500"
313,Catullus: The Poems,"In this course we read and discuss the poetry of Catullus, including selections from the polymetrics, longer poems, and epigrams","3,500"
314,Introduction to Computer Science with Python,This course is an introduction to computer science for students without prior programming experience,"3,500"
315,Masterpieces of World Literature,"This course surveys world literature from The Epic of Gilgamesh to the present, with an emphasis on different cultures and...","3,500"
316,The Art of Communication,"Today's leaders must convey their messages concisely, confidently, and memorably","3,500"
317,Psychopaths and the Insanity Defense,"This seminar explores, through case materials and empirical research, the insanity defense in the legal system and its impact on...","3,500"
318,Introduction to Digital Photography,This course is aimed at students wishing to master the fundamentals of photography,"3,500"
319,Reviewing the Arts,"In this highly participatory course, we examine the practice of writing about the arts in reviews, cultural criticism, and other...","3,500"
320,"International Environmental Governance, Policy, and Social Justice",This course examines both the policy decisions and social justice issues that drive human actions and responses to environmental...,"3,500"
321,Assessing the Food-Water-Energy Nexus: Foundations of Global Security,"Food, water, and energy (FWE) are boundary conditions for global security and sustainable development","3,500"
322,Leadership,How do you become a leader? How do you maintain a successful claim to leadership? This course aims to answer these questions with...,"3,500"
323,Staging Shakespeare,"The plays by William Shakespeare pose serious challenges for actors, directors, designers, and audiences—challenges they must...","3,500"
324,Introduction to Psychology,This course provides an overview of the theoretical underpinnings of psychology and the results of classic studies and current...,"3,500"
325,Fundamentals of Contemporary Astronomy: Frontiers of Current Research,Astronomers are making exciting discoveries every day,"3,500"
326,Introduction to Psychopharmacology,Human interaction with drugs permeates our society,"3,500"
327,"Big Ideas, Great Thinkers",Great thinkers have existed around the world and across time,"3,500"
328,East Asian Religions: Traditions and Transformations,This course provides an introduction to the study of East Asian religions,"3,500"
329,Democracy's Century: Democratic Transitions in Comparative Perspective,This course addresses the question of tough transitions,"3,500"
330,Precision Medicine in Genomics,This course focuses on the application of genomic science in precision medicine,"3,500"
331,Power and Privilege in the Criminal Justice System,"This course looks at a variety of intersections between psychology and the criminal justice system, with a particular eye on...","3,500"
332,Migrants in the Modern Middle East,"This course follows people who moved (or were made to move) in, to, or from the eastern Mediterranean between the late nineteenth...","3,500"
333,Computational Bayesian Inference,This course is an introduction to Bayesian inference and Markov Chain Monte Carlo computational methods,"3,500"
334,Advanced Fiction: Writing Flash Fiction,How to tell a story in a single paragraph? In a page? In three? This advanced writing course explores one of the hottest forms of...,"2,980"
335,Principles of Economics,This course covers both micro- and macroeconomics,"7,000"
336,Basic Journalism in the Digital Age,"In a time when journalism and truth-finding are under siege, this writing-intensive course provides a deep understanding of...","3,500"
337,US-Mexico Politics,Mexico is the US's top trading partner and one of its most important political and strategic allies,"3,500"
338,Introduction to Sustainable Finance and Investments,"Financial decisions worldwide are increasingly influenced by the scarcity of resources, the search for profits through efficiency...","3,500"
339,Appraising and Reimagining Middle and High School Mathematics Education,This course examines critical issues in middle and high school mathematics education in the United States from a variety of...,"3,500"
340,Communication Protocols and Internet Architectures,"This course provides a structured technical approach to the design, analysis, and implementation of internet protocols and...","2,980"
341,Poetry in America for Teachers: The City from Whitman to Hip Hop,This course is designed specifically for secondary school educators interested in developing their expertise as readers and...,"1,000"
342,Digital Marketing: Foundations and Framework for Success,The digital age has presented new growth opportunities for marketers to develop their brands and foster deeper customer...,"3,500"
343,Negotiation and Organizational Conflict Resolution,This course provides a comprehensive introduction to the concept and types of negotiation,"3,500"
344,Mathematical Modeling,"Mathematical models are ubiquitous, providing a quantitative framework for understanding, prediction, and decision making in...","3,500"
345,Principles of Real Estate,"This course offers practical, real-world knowledge for investing in real estate","3,500"
346,Music and Disability,"This course explores music and disability studies, inclusive music education and practice, and disability arts, among other topics","3,500"
347,Intelligence and International Security,This course explores the opaque world of intelligence and international security,"3,500"
348,Ukrainian for Reading Knowledge,This course is designed primarily for graduate students of humanities who wish to acquire a reading knowledge of Ukrainian for...,"7,000"
349,Precalculus Mathematics,"In this course, a systematic study of the standard families of functions is combined with some basics of discrete mathematics and...","3,500"
350,Design of Renewable Energy Projects,"This course helps students develop the skills to design, fund, and implement renewable energy projects in the United States and...","3,500"
351,Introduction to Game Development,This course focuses on the development of 2D games,"3,500"
352,The Biology of Cancer,This course explores the biology of cancer,"3,500"
353,Wearable Devices and Computer Vision,"In this course we introduce the basic concepts of embedded systems programming, wearable devices, interfaces with motion and...","3,500"
354,"Sociology of Big Data: Algorithms, Robots, and Digital Societies","In recent decades, most societies around the world have experienced an explosion in the production, circulation, and consumption...","3,500"
355,Political Corruption,This course provides a comparative analysis of political corruption in rich and poor countries around the world,"3,500"
356,Beginning German,This intensive summer course introduces the fundamentals of the German language generally taught to students over the course of...,"7,000"
357,"Advanced Spanish Language I: Viewing the Hispanic World, Identidades y Lazos",This is an advanced language and culture course that further develops linguistic competence using regions of the Hispanic world...,"3,500"
358,Intermediate Korean,This course aims to increase students' ability to communicate in Korean in a wide range of daily life situations with an equal...,"7,000"
359,Advanced Fiction: Writing the Literary Underworld,"In many works of literature and film, the hero or heroine must leave the ordinary world and descend to an underworld, a place...","2,980"
360,The Israel/Palestine Conflict: Contemporary Socio-Legal Aspects,The decades-long Israeli-Palestinian conflict has attracted significant international attention and is perceived as an...,"3,500"
361,Advanced Fiction: Writing the Literary Underworld,"In many works of literature and film, the hero or heroine must leave the ordinary world and descend to an underworld, a place...","2,980"
362,Mind and Brain: Themes in the History of Neuroscience,"This course examines the development of the neurosciences from the late eighteenth century to the early twenty-first century,...","3,500"
363,England After Empire,This course considers the way England was transformed through the demise of its empire after the Second World War through to the...,"3,500"
364,Race and US Politics,This course elucidates American racial politics through a combination of theoretical and historical approaches,"3,500"
365,Programming in R,"This course features a comprehensive overview of the R programming language, with an emphasis on developing practical skills for...","3,500"
366,Mathematical Reasoning: An Introduction to Reading and Writing Proofs,"Ever wonder where a mathematical fact comes from or why you should believe it? What does it mean to prove a theorem, and how do...","3,500"
367,Marine Life and Ecosystems of the Sea,This course explores the life history and adaptations of marine life and the ecosystems of the sea,"3,500"
368,Introduction to Clinical Psychology,Clinical psychology is a diverse and compelling field,"3,500"
369,Health Information Systems,"Health information systems provide technology and enable information exchange for healthcare enterprises, health information...","3,500"
370,Character Design for Animation and Games,The design of a character connects us to the story,"3,500"
371,Introduction to Statistics and Applied Data Analysis,"This course is an intensive introduction to the fundamental concepts of probability, statistical inference, and statistical...","3,500"
372,Java Enterprise Development with the Spring Framework,"This course provides an in-depth, hands-on study of technological, design, and development approaches for enterprise-level...","3,500"
373,Myth and Mystery in Post-World War II US Short Fiction,This course surveys a host of short prose fiction published in the United States after 1945,"3,500"
374,Poetry in America: Whitman and Dickinson,"This course focuses on the poetry of Walt Whitman and Emily Dickinson, two influential and iconic American poets of the...","3,500"
375,"Big Ideas, Great Thinkers",Great thinkers have existed around the world and across time,"3,500"
376,Islam: Fundamentals of Thought and Practice,"This course seeks to introduce students to the core beliefs and practices of Islam, with special focus on how Islam has...","3,500"
377,Managerial Economics,This course provides an overview of economic tools and analytic approaches available to the manager for business decision making,"3,500"
378,Quantitative Reasoning: Practical Math,This course reviews basic arithmetical procedures and their use in everyday mathematics,"1,000"
379,Precision Medicine in Genomics,This course focuses on the application of genomic science in precision medicine,"3,500"
380,Power and Privilege in the Criminal Justice System,"This course looks at a variety of intersections between psychology and the criminal justice system, with a particular eye on...","3,500"
381,Computational Bayesian Inference,This course is an introduction to Bayesian inference and Markov Chain Monte Carlo computational methods,"3,500"
382,Web Programming with Python and JavaScript,"This course examines the design and implementation of web applications with Python, JavaScript, and SQL using frameworks like...","3,500"
383,Design Thinking and Innovation,Design Thinking and Innovation from Harvard Business School (HBS) Online will teach you how to leverage fundamental design...,"1,750"
384,Organizational Leadership,Elevate your leadership skills to take your organization to the next level in this course from Harvard Business School (HBS)...,"1,750"
385,NeuroRehabilitation 2022,"Experts will present cutting-edge clinical interventions, the latest findings, practical education, and hands-on methods to...",745 - $945
386,Building Organizational Cultures: A Framework for Leaders,Critically assess how culture affects organizations and learn how to create an environment that promotes advancement of people.,"2,895"
387,Strengthening Business Relationships: Creating Strategic Alliances and Building Trust,Foster innovation and creativity by learning new ways to stimulate effective relationships and build powerful alliances.,"1,450"
388,The Consultant's Toolkit,Refine your consulting abilities through proven techniques to improve organizational effectiveness.,"2,895"
389,Beginning Fiction,"Students learn and practice the fundamentals of writing fiction—character, plot, dialogue, description, style—in a workshop...","3,500"
390,Introduction to 2D Animation,"2D animation is the art of drawing to create the illusion of life, and is an extraordinary medium for storytelling and expression","3,500"
391,Politics of Religion in Liberal Democracies,"The secularization thesis argues that as societies modernize, religion becomes a less important facet of life","3,500"
392,How Students Learn: Psychological Science in the Classroom,Students can become accustomed to cramming for exams and taking notes through hours of lectures,"3,500"
393,"Space Exploration: Law, Policy, and Ethics","This course, intended for graduate students and advanced undergraduates with a background in either astronomy, law, or policy,...","3,500"
